time,LAT,LON,DVORAK_FINAL_T_NO,DVORAK_CI_NO,CENTRAL_PRES,ENV_PRES,MN_RADIUS_OUTER_ISOBAR,MN_RADIUS_GF_SECNE,MN_RADIUS_GF_SECSE,MN_RADIUS_GF_SECSW,MN_RADIUS_GF_SECNW,MN_RADIUS_SF_WIND,MN_RADIUS_SF_SECNE,MN_RADIUS_SF_SECSE,MN_RADIUS_SF_SECSW,MN_RADIUS_SF_SECNW,MN_RADIUS_HF_WIND,MN_RADIUS_MAX_WIND,MAX_WIND_SPD,MAX_WIND_GUST,MAX_WIND_GUST_METHOD,MN_EYE_RAD,MN_EYE_RAD_UNCERTAINTY,MN_EYE_RAD_METHOD,MAX_REP_WIND_SPD,MAX_REP_WIND_DIR,MAX_REP_WIND_METHOD,MAX_REP_WIND_LON,MAX_REP_WIND_LAT,MAX_REP_WAV_HT,MAX_REP_WAV_METHOD,MAX_REP_WAV_LON,MAX_REP_WAV_LAT,MAX_REP_SWL_HT,MAX_REP_SWL_DIR,MAX_REP_SWL_PER,MAX_REP_SWL_METHOD,MAX_REP_SWL_LON,MAX_REP_SWL_LAT,MAX_REP_TIDE_ANOM,MAX_REP_TIDE_ANOM_UNCERTAINTY,MAX_REP_TIDE_ANOM_METHOD,MAX_REP_TIDE_ANOM_LON,MAX_REP_TIDE_ANOM_LAT,COMMENT
1/04/2014 22:00,-10.8,158.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2/04/2014 0:00,-10.6,158.9,1.5,1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2/04/2014 6:00,-10.4,159,1,1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2/04/2014 12:00,-10.2,158.7,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2/04/2014 18:00,-10.3,158.6,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2/04/2014 21:00,-10.4,158.5,1.5,1.5,1001, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
3/04/2014 0:00,-10.9,158.8,1.5,1.5,1003, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
3/04/2014 6:00,-11,158.8,1.5,1.5,1001, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
3/04/2014 9:00,-10.8,159,2,2,1002, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
3/04/2014 12:00,-10.51,158.47,2,2,1002, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
3/04/2014 18:00,-10.4,158.3,2,2,1001, , , , , , , , , , , , , ,12.9,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
4/04/2014 0:00,-11,158,2.5,2.5,1000, , , , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
4/04/2014 6:00,-11.4,156.9,2.5,2.5,999, , , , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
4/04/2014 12:00,-11.49,156.82, , , , , , , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
4/04/2014 18:00,-11.55,156.66, , , , , , , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
4/04/2014 21:00,-11.66,156.47,2.5,2.5,998, , , , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
5/04/2014 0:00,-11.77,156.28,2.5,2.5,998,1008,333, , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
5/04/2014 6:00,-11.8,156.2,2.5,2.5,996,1008,333, , , , , , , , , , , ,15.4,23.2, , , , , , , , , , , , , , , , , , , , , , , , ,
5/04/2014 9:00,-11.9,156.1,3,3,997,1008,333, , , , , , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
5/04/2014 12:00,-12,155.8,3,3,997,1008,259,167,222,222,111, , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
5/04/2014 18:00,-12.2,154.9,3,3,998,1008,463,167,222,222,111, , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
6/04/2014 0:00,-12.1,154.4,3,3,998,1010,444,167,222,222,111, , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
6/04/2014 6:00,-12.2,154.2,2.5,3,998,1008,444,111,167,222,83, , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
6/04/2014 12:00,-12.1,153.9,3,3,999,1010,444,111,222,222,56, , , , , , ,22,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
6/04/2014 18:00,-12.3,153.6,3,3,997,1008,444,56,222,167,56, , , , , , ,22,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
6/04/2014 21:00,-12.3,153.4,3,3,998,1010,333,74,259,241,56, , , , , , ,28,18,25.7, , , , , , , , , , , , , , , , , , , , , , , , ,
7/04/2014 0:00,-12.3,153.3,3,3,998,1010,333,74,259,241,56, , , , , , ,46,20.6,28.3, , , , , , , , , , , , , , , , , , , , , , , , ,
7/04/2014 3:00,-12.1,153.3,3.5,3.5,995,1010, ,74,259,241,56, , , , , , , ,23.2,33.4, , , , , , , , , , , , , , , , , , , , , , , , ,
7/04/2014 6:00,-11.9,153.3,3.5,3.5,987,1006,278,130,185,222,111,56, , , , , ,46,25.7,36, , , , , , , , , , , , , , , , , , , , , , , , ,
7/04/2014 12:00,-11.8,153.4,3.5,3.5,983,1008,222,130,185,222,111,56, , , , , ,46,25.7,36, , , , , , , , , , , , , , , , , , , , , , , , ,
7/04/2014 18:00,-11.8,153.4,4,4,981,1006,185,130,185,185,130,74, , , , , ,46,30.9,43.7, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 0:00,-11.8,153.4, , ,973,1008,370,130,185,185,130,74, , , , ,37,37,33.4,46.3, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 6:00,-11.8,152.9, , ,973,1008,370,130,185,185,130,74, , , , ,37,37,33.4,46.3, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 12:00,-11.7,152.5,4,4.5,978,1008,148,148,241,241,148,93, , , , ,46,37,33.4,46.3, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 15:00,-11.6,152.3, , ,969,1008, ,148,241,241,148,93, , , , ,46, ,38.6,54, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 18:00,-11.6,151.8,5,5,962,1004,148,167,241,241,167,93, , , , ,56,37,41.2,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
8/04/2014 21:00,-11.6,151.6, , ,962,1004, ,167,241,241,167,93, , , , ,56, ,41.2,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
9/04/2014 0:00,-11.5,151.4,4.5,5,963,1006,148,167,241,241,167,93, , , , ,56,28,41.2,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
9/04/2014 3:00,-11.3,150.8,5,5,966,1008,426,167,222,222,167,93, , , , ,56,22,41.2,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
9/04/2014 6:00,-11.3,150.2,5,5,963,1004,222,167,222,222,167,93, , , , ,56,22,41.2,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
9/04/2014 9:00,-11.4,149.7,5,5,959,1004,222,167,222,222,167,93, , , , ,56,22,43.7,56.6, , , , , , , , , , , , , , , , , , , , , , , , ,
9/04/2014 10:30,-11.3,149.5, , ,959,1004, ,167,222,222,167,93, , , , ,56, ,43.7,61.7, , , , , , , , , , , , , , , , , , , , , , , , ,
